FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel
"SSS 2012","Harro Koebke","Fassmer","2.6m","DGzRS","Germany","April 2012","36.45m","25knots","","","0","236tonnes","MTU","Type 16V 4000 M71 (main) / Type 8V 4000 M70 (side engines)"
"SSS 2012","HAWC12","Wang Tak Engineering & Shipbuilding Co, Ltd","Icarus Marine","HAWC Technologies Ltd","Hong Kong","October 2012","12.46m","36+knots","","","0","13.4tonnes (full load)","MarineDiesel","VGT-400"
"SSS 2012","Interceptor","Safehaven Marine","Frank Kowalski","To be confirmed","Ireland","To be confirmed","11.7m","29knots","","17tonnes","0","12.5tonnes","Volvo","D9"
"SSS 2012","KBV 312","Baltic Workboats","Baltic Workboats","Swedish Coast Guard","Sweden","May 2012 2012 saw the delivery of the first in a series of five versatile coastguard vessels, destined primarily for maritime surveillance, border and fisheries control, environmental protection, firefighting and rescue and civil protection and diving operations. Following a successful tender in 2009, Estonia’s Baltic Workboats was awarded the contract to design and build five new fast patrol vessels for the Swedish Coast Guard, with specified requirements including the lowest possible vessel lifecycle costs, high efficiency, high working environment standards and the lowest possible impact on the environment","26.5m","34knots","","80tonnes","2","53tonnes","Volvo Penta","D13"
"SSS 2012","Lady Anna","Groningen Shipyard","Groot Ship Design / Conoship International","Wijnne Barends","Netherlands","January 2012","88m","","","2,544tonnes","0","","Caterpillar","3508"
"SSS 2012","Mary D Odyssey","Austal","Austal","Mary D Enterprises","New Caledonia","January 2012","35.2m","","","","0","","MTU","12V 2000 M72"
"SSS 2012","Ocean Wave","Bollinger Shipyards","Jensen Maritime Consultants","Crowley Maritime Corp","US","September 2012","44.5m","","","1,600tonnes","1","2,387tonnes","Caterpillar","C-280-12 Tier II"
"SSS 2012","Oceanic","Shipkits / Hartman","Hartman Marine / Conoship International","Global Seatrade / Amasus Shipping","Netherlands","July 2012","92.9m","12.5knots","","2,979tonnes","1","4,755tonnes","Wärtsilä","6L20"
"SSS 2012","Owaijah II","Alnmaritec Ltd","Alnmaritec Ltd","SMIT","Qatar","February 2012","13.2m","42knots","","","0","12tonnes","Cummins","QSC600"
"SSS 2012","Polaris","Barkmeijer Stroobos","Conoship International / Barkmeijer Stroobos / Groot Ship Design","Nederlands Loodswezen","Netherlands","October 2012","81.2m","16.5knots","","2,501tonnes","1","2,778tonnes","Caterpillar","C32 / C18"
"SSS 2012","Preventer","Lochin Marine International","Amgram Ltd","Hampshire Police Authority","UK","September 2012","11.1m","27knots","","approx. 14tonnes","0","13tonnes","Cummins","QSB5.9"
"SSS 2012","Sajo Columbia","Sungdong Shipbuilding &","Sungdong Shipbuilding &","","Korea","August 2012","79.56m","17knots","","1,014tonnes","1","","Niigata Power System","Niigata 8MG34HX"
"SSS 2012","Sanaborg","Royal Niestern Sander","Royal Niestern Sander","Wagenborg Offshore","Netherlands","August 2012","68.2m","13.6knots","","1,520tonnes","1","2,320tonnes","Caterpillar","3516C – Tier II"
"SSS 2012","Signet Constellation","Trinity Offshore","Robert Allan Ltd","Signet Maritime","US","February 2012","30.48m","13.5knots","","479tonnes","1","800tonnes","Caterpillar","C175-16"
"SSS 2012","Simon Stevin","Damen Shipyards","Damen Shipyards / VLIZ","D.A.B Vloot","Belgium","May 2012","36m","","","","0","","",""
"SSS 2012","Suffolk Spirit","Kocurek","Macduff Ship Design","Shire Maritime","UK","July 2012","26m","","","","0","440tonnes","Twin Disc","Twin Disc MGX 5222"
"SSS 2012","Vitus Bering","Arctech Helsinki Shipyard","Arctech Helsinki Shipyard","Sovcomflot","Finland","December 2012","99.9m","","","","0","","Wärtsilä","6L32 (x2) / 12V32 (x2)"
"SSS 2012","Vroon 01","DELTA Power Group","DELTA Power Group","Vroon Offshore Services","Netherlands","December 2012","10.06m","34knots","","","2","5.95tonnes (lightship) 7.86tonnes (fully laden)","Yanmar","6BY-260"
"SSS 2012","WARNEMÜNDE (NB 575)","N Sundin, Dockstavarvet","JB Seaform / Dockstavarvet","Wasser- und","Germany","December 2012","19.4m","25knots","","56tonnes","0","32tonnes","Volvo Penta","D16-MH"
"SSS 2012","Wildcat 3","Blyth Workcats","Blyth Workcats","Wildcat Marine","UK","May 2012","17.5m","26knots","","18.38tonnes","0","25tonnes","MAN Diesel","D2848 LE422-750"
"SSS 2012","Wind Servant","Mobimar Ltd","Pauli Immonen","Auramare Ltd","Finland","August 2012","18m","","","38tonnes","0","37tonnes","MAN B&W","D2842LE410"
